rar  <-->59
zip  <-->38
tar.gz  <-->25
sql.gz  <-->11
sql  <-->10
7z  <-->8
tar.bz2  <-->8
tgz  <-->7
gz  <-->6
tar  <-->5
old  <-->4
jar  <-->3
war  <-->3
tar.tgz  <-->2
bz2  <-->2
bak  <-->1
backup  <-->1
Release  <-->1
bzip  <-->1
gzip  <-->1
original  <-->1
7gzip  <-->1
7zip  <-->1
bz  <-->1
iso  <-->1
tar.bz  <-->1
zipx  <-->1
_bak.rar  <-->1
rar4  <-->1
rar5  <-->1
gz2  <-->1
tar.tz  <-->1
tar.xz  <-->1
