%%DOMAIN%%  <-->999
web  <-->47
www  <-->43
wwwroot  <-->39
htdocs  <-->26
webroot  <-->25
root  <-->24
localhost  <-->14
127.0.0.1  <-->11
website  <-->10
html  <-->10
www.root  <-->7
webmaster  <-->3
webapp  <-->1
webapps  <-->1
local  <-->1
htccp  <-->1
webserver  <-->1
defaultroot  <-->1
wwroot  <-->1
